Transaction ID,Wallet ID,Cryptocurrency,Amount,Transaction Type,Sender Type,Receiver Type,Sender,Receiver,Timestamp
TX32,Wallet10,Monero,36858.466927115696,direct,drug_trafficker,legitimate_user,Sender21,Receiver4,2022-11-02 20:36:04
TX33,Wallet48,Monero,78887.27988321862,mixer,legitimate_user,legitimate_user,Sender64,Receiver32,2022-05-07 09:27:47
TX34,Wallet77,Monero,72559.43916511424,mixer,legitimate_user,legitimate_user,Sender4,Receiver13,2022-05-27 01:49:00
TX35,Wallet59,Bitcoin,42053.95246261518,mixer,legitimate_user,drug_trafficker,Sender41,Receiver61,2022-02-05 00:56:45
TX36,Wallet54,USDT,52459.26682955859,tumbler,drug_trafficker,drug_trafficker,Sender85,Receiver8,2022-04-22 12:03:38
TX37,Wallet84,Bitcoin,77740.7584107997,bridge,drug_trafficker,legitimate_user,Sender84,Receiver8,2022-06-06 08:43:46
TX38,Wallet52,Monero,71517.87774458676,bridge,drug_trafficker,legitimate_user,Sender88,Receiver97,2022-04-27 14:32:51
TX39,Wallet45,USDT,43040.24964678173,tumbler,drug_trafficker,legitimate_user,Sender94,Receiver92,2022-02-04 02:20:45
TX40,Wallet37,USDT,12941.24244810176,tumbler,drug_trafficker,legitimate_user,Sender31,Receiver88,2022-03-04 09:26:55
TX41,Wallet23,Bitcoin,69002.50511887253,mixer,legitimate_user,drug_trafficker,Sender47,Receiver81,2022-11-09 00:10:11
TX42,Wallet95,Monero,50342.74775972098,mixer,legitimate_user,legitimate_user,Sender39,Receiver54,2022-12-19 07:28:01
TX43,Wallet93,Monero,15941.45475075096,mixer,drug_trafficker,legitimate_user,Sender94,Receiver51,2022-03-02 12:32:41
TX44,Wallet73,USDT,18282.482705076152,mixer,drug_trafficker,drug_trafficker,Sender66,Receiver65,2022-06-25 02:15:03
TX45,Wallet84,Bitcoin,8653.2581546139,mixer,drug_trafficker,legitimate_user,Sender7,Receiver67,2022-07-06 05:45:09
TX46,Wallet78,USDT,13105.531810973464,tumbler,legitimate_user,legitimate_user,Sender9,Receiver26,2022-06-14 05:22:16
TX47,Wallet38,USDT,36810.246517129395,direct,drug_trafficker,drug_trafficker,Sender55,Receiver79,2022-09-08 13:05:47
TX48,Wallet68,Monero,49767.80287678529,bridge,legitimate_user,legitimate_user,Sender79,Receiver83,2022-06-27 04:17:05
TX49,Wallet25,USDT,44908.34827929469,mixer,legitimate_user,legitimate_user,Sender25,Receiver34,2022-03-02 14:49:07
TX50,Wallet47,Bitcoin,22826.36870740103,tumbler,legitimate_user,legitimate_user,Sender13,Receiver47,2022-07-01 02:51:23
TX51,Wallet47,Monero,37905.695817173895,tumbler,drug_trafficker,drug_trafficker,Sender77,Receiver74,2022-03-05 07:03:48
TX52,Wallet49,USDT,55536.13074900486,tumbler,legitimate_user,drug_trafficker,Sender50,Receiver30,2022-04-11 20:42:01
TX53,Wallet81,Monero,45182.17374875914,mixer,legitimate_user,drug_trafficker,Sender49,Receiver67,2022-07-10 02:52:44
TX54,Wallet91,Bitcoin,1930.0704521010368,direct,drug_trafficker,legitimate_user,Sender38,Receiver40,2022-01-27 01:26:35
TX55,Wallet89,Monero,97007.50768434934,direct,drug_trafficker,drug_trafficker,Sender26,Receiver25,2022-08-11 18:03:44
TX56,Wallet55,Bitcoin,86231.85606040477,mixer,legitimate_user,legitimate_user,Sender58,Receiver71,2022-04-03 18:50:38
TX57,Wallet1,Bitcoin,94470.74864257277,mixer,legitimate_user,drug_trafficker,Sender16,Receiver34,2022-08-13 05:38:01
TX58,Wallet7,Monero,29964.356428317726,mixer,legitimate_user,drug_trafficker,Sender51,Receiver52,2022-03-13 09:51:08
TX59,Wallet54,USDT,27906.802032180356,mixer,drug_trafficker,legitimate_user,Sender77,Receiver22,2022-09-19 13:30:28
TX60,Wallet86,Monero,45485.99341298571,direct,drug_trafficker,drug_trafficker,Sender6,Receiver16,2022-06-06 17:31:32
TX61,Wallet33,Monero,91953.14435457715,tumbler,drug_trafficker,legitimate_user,Sender91,Receiver23,2022-04-06 04:19:36
TX62,Wallet77,Monero,88010.6875509058,direct,drug_trafficker,legitimate_user,Sender53,Receiver81,2022-01-24 15:10:03
TX63,Wallet17,Bitcoin,28711.93329722413,direct,legitimate_user,legitimate_user,Sender57,Receiver63,2022-09-17 17:53:57
TX64,Wallet63,Monero,88630.46774560933,direct,drug_trafficker,drug_trafficker,Sender72,Receiver63,2022-08-28 14:07:22
TX65,Wallet81,Monero,51761.214834138256,mixer,legitimate_user,drug_trafficker,Sender91,Receiver35,2022-07-18 03:07:45
TX66,Wallet38,Bitcoin,309.9640774432706,tumbler,legitimate_user,legitimate_user,Sender9,Receiver97,2022-02-06 04:01:29
TX67,Wallet41,Monero,40321.80927237268,bridge,drug_trafficker,drug_trafficker,Sender75,Receiver68,2022-07-06 09:40:17
TX68,Wallet60,Monero,82171.85814084813,tumbler,drug_trafficker,drug_trafficker,Sender38,Receiver89,2022-01-04 07:29:01
TX69,Wallet1,USDT,76456.1997901511,mixer,legitimate_user,legitimate_user,Sender7,Receiver89,2022-08-16 05:41:17
TX70,Wallet44,Monero,63659.00083264977,bridge,drug_trafficker,drug_trafficker,Sender12,Receiver12,2022-02-08 23:26:48
TX71,Wallet83,USDT,21153.39765729126,direct,drug_trafficker,legitimate_user,Sender39,Receiver39,2022-05-02 21:59:36
TX72,Wallet39,Bitcoin,16902.548922662067,direct,drug_trafficker,legitimate_user,Sender5,Receiver50,2022-09-03 19:03:13
TX73,Wallet82,Monero,48370.65130533773,mixer,legitimate_user,drug_trafficker,Sender43,Receiver58,2022-02-06 20:21:55
TX74,Wallet99,Monero,66160.73221852799,bridge,drug_trafficker,legitimate_user,Sender98,Receiver26,2022-02-14 06:25:24
TX75,Wallet52,Bitcoin,90035.85844708109,bridge,drug_trafficker,drug_trafficker,Sender30,Receiver3,2022-06-26 07:15:14
TX76,Wallet8,Monero,2919.033192988977,tumbler,legitimate_user,legitimate_user,Sender12,Receiver68,2022-11-24 04:53:51
TX77,Wallet94,Monero,87064.85616605038,mixer,drug_trafficker,drug_trafficker,Sender4,Receiver38,2022-08-15 11:09:11
TX78,Wallet64,USDT,91119.71703570116,direct,drug_trafficker,legitimate_user,Sender89,Receiver74,2022-09-19 11:28:53
TX79,Wallet56,Monero,38831.96647245222,direct,drug_trafficker,legitimate_user,Sender79,Receiver66,2022-12-26 07:11:26
TX80,Wallet2,Monero,45589.84920670891,direct,legitimate_user,legitimate_user,Sender45,Receiver41,2022-09-14 10:19:50
TX81,Wallet69,Monero,39554.389024316275,bridge,legitimate_user,legitimate_user,Sender16,Receiver52,2022-10-13 13:10:52
TX82,Wallet71,USDT,97680.18054290196,direct,drug_trafficker,legitimate_user,Sender51,Receiver97,2022-12-28 18:18:57
TX83,Wallet16,Bitcoin,72218.40516193338,direct,legitimate_user,drug_trafficker,Sender89,Receiver77,2022-03-15 14:20:07
TX84,Wallet92,Bitcoin,88067.81349792673,bridge,legitimate_user,legitimate_user,Sender30,Receiver96,2022-03-05 01:49:49
TX85,Wallet81,USDT,74658.43135419839,mixer,legitimate_user,legitimate_user,Sender21,Receiver39,2022-01-07 12:22:15
TX86,Wallet41,Monero,30082.39956724443,mixer,legitimate_user,drug_trafficker,Sender43,Receiver45,2022-04-10 07:27:59
TX87,Wallet11,Bitcoin,43199.38411579081,tumbler,drug_trafficker,legitimate_user,Sender30,Receiver31,2022-12-03 07:51:52
TX88,Wallet65,Bitcoin,746.8416998087076,bridge,legitimate_user,drug_trafficker,Sender27,Receiver16,2022-01-18 10:17:03
TX89,Wallet30,Bitcoin,37303.98399557346,tumbler,drug_trafficker,drug_trafficker,Sender7,Receiver33,2022-02-24 22:53:37
TX90,Wallet52,Monero,36762.623662360595,bridge,drug_trafficker,drug_trafficker,Sender30,Receiver29,2022-03-27 17:28:47
TX91,Wallet60,Bitcoin,71437.57688736713,direct,drug_trafficker,legitimate_user,Sender76,Receiver94,2022-09-01 20:45:28
TX92,Wallet48,USDT,5732.071822353817,direct,drug_trafficker,drug_trafficker,Sender58,Receiver5,2022-10-05 16:18:37
TX93,Wallet36,Bitcoin,72474.2066232213,tumbler,drug_trafficker,drug_trafficker,Sender98,Receiver49,2022-02-13 06:51:36
TX94,Wallet20,Monero,88520.72858641122,mixer,legitimate_user,legitimate_user,Sender61,Receiver82,2022-04-28 03:33:53
TX95,Wallet28,Bitcoin,47694.594400756585,bridge,drug_trafficker,drug_trafficker,Sender30,Receiver30,2022-11-25 18:16:00
TX96,Wallet14,USDT,31654.262823822006,mixer,legitimate_user,drug_trafficker,Sender77,Receiver31,2022-08-22 13:49:26
TX97,Wallet65,USDT,77917.94553838907,mixer,drug_trafficker,drug_trafficker,Sender29,Receiver59,2022-03-02 13:19:47
TX98,Wallet72,USDT,32529.68751198212,bridge,drug_trafficker,legitimate_user,Sender54,Receiver61,2022-11-19 02:29:17
TX99,Wallet20,Bitcoin,88861.55061857114,bridge,legitimate_user,drug_trafficker,Sender67,Receiver21,2022-04-18 12:38:42
TX100,Wallet41,Bitcoin,11589.855723603285,tumbler,legitimate_user,drug_trafficker,Sender8,Receiver89,2022-09-16 15:10:19
TX101,Wallet57,USDT,34234.244239092026,bridge,drug_trafficker,drug_trafficker,Sender33,Receiver40,2022-05-09 15:52:36
TX102,Wallet53,Monero,52803.02053763594,mixer,drug_trafficker,drug_trafficker,Sender85,Receiver24,2022-04-24 23:34:27
TX103,Wallet28,USDT,29818.74298443281,mixer,legitimate_user,legitimate_user,Sender98,Receiver99,2022-05-02 04:21:08
TX104,Wallet34,Monero,50374.78683830083,bridge,legitimate_user,legitimate_user,Sender66,Receiver72,2022-02-02 07:25:36
TX105,Wallet51,Bitcoin,44077.724852611966,mixer,legitimate_user,drug_trafficker,Sender81,Receiver44,2022-04-09 19:46:00
TX106,Wallet97,Monero,32233.360581326433,tumbler,drug_trafficker,drug_trafficker,Sender72,Receiver76,2022-04-23 01:16:50
TX107,Wallet22,USDT,46711.94604568961,mixer,legitimate_user,drug_trafficker,Sender20,Receiver16,2022-08-13 03:33:48
TX108,Wallet57,Bitcoin,49236.14574547435,bridge,drug_trafficker,legitimate_user,Sender84,Receiver18,2022-01-23 01:38:09
TX109,Wallet62,Monero,23041.17785909448,bridge,legitimate_user,drug_trafficker,Sender61,Receiver26,2022-06-18 06:28:10
TX110,Wallet85,Monero,17863.572049325154,tumbler,drug_trafficker,legitimate_user,Sender60,Receiver31,2022-12-15 19:48:56
TX111,Wallet66,Bitcoin,3235.6329325175752,bridge,legitimate_user,legitimate_user,Sender53,Receiver33,2022-08-15 02:29:51
TX112,Wallet5,Bitcoin,83980.65402336618,direct,legitimate_user,drug_trafficker,Sender89,Receiver18,2022-05-25 00:49:17
TX113,Wallet32,Monero,47145.73722085335,direct,legitimate_user,drug_trafficker,Sender15,Receiver62,2022-08-01 11:33:50
TX114,Wallet73,USDT,52580.900049582764,tumbler,legitimate_user,legitimate_user,Sender86,Receiver94,2022-06-25 22:18:07
TX115,Wallet27,Bitcoin,47532.483467960425,tumbler,drug_trafficker,drug_trafficker,Sender84,Receiver79,2022-03-26 00:27:36
TX116,Wallet4,Monero,71514.32805110348,tumbler,legitimate_user,legitimate_user,Sender19,Receiver13,2022-12-08 02:07:30
TX117,Wallet66,Bitcoin,90482.67173983972,bridge,legitimate_user,legitimate_user,Sender51,Receiver25,2022-01-13 04:48:51
TX118,Wallet15,USDT,12672.775856976603,mixer,drug_trafficker,legitimate_user,Sender5,Receiver87,2022-11-26 11:31:27
TX119,Wallet44,Bitcoin,86112.30219534859,mixer,legitimate_user,legitimate_user,Sender1,Receiver96,2022-09-15 06:18:22
TX120,Wallet47,USDT,88502.1862709621,mixer,legitimate_user,legitimate_user,Sender32,Receiver29,2022-12-25 19:40:40
TX121,Wallet30,Bitcoin,26590.57007462283,mixer,drug_trafficker,legitimate_user,Sender1,Receiver40,2022-07-03 01:48:22
TX122,Wallet50,Monero,20279.612090739112,direct,legitimate_user,legitimate_user,Sender67,Receiver33,2022-03-07 06:35:53
TX123,Wallet83,Monero,81636.43238834255,bridge,legitimate_user,legitimate_user,Sender86,Receiver2,2022-10-20 17:11:00
TX124,Wallet62,Monero,27542.533616049852,mixer,legitimate_user,legitimate_user,Sender70,Receiver85,2022-05-10 16:16:57
TX125,Wallet23,Bitcoin,72855.87570936138,tumbler,drug_trafficker,drug_trafficker,Sender93,Receiver96,2022-12-03 17:07:39
TX126,Wallet59,USDT,27664.980254421658,direct,drug_trafficker,legitimate_user,Sender60,Receiver79,2022-05-23 20:02:07
TX127,Wallet6,USDT,98775.83905392094,tumbler,legitimate_user,legitimate_user,Sender63,Receiver30,2022-10-12 03:26:39
TX128,Wallet73,USDT,8287.626430401957,tumbler,drug_trafficker,legitimate_user,Sender11,Receiver75,2022-09-12 13:14:55
TX129,Wallet43,USDT,93207.96452549112,bridge,legitimate_user,drug_trafficker,Sender44,Receiver25,2022-02-22 18:25:29
TX130,Wallet41,USDT,84938.29771058483,bridge,legitimate_user,drug_trafficker,Sender64,Receiver15,2022-01-02 21:01:36
TX131,Wallet77,Bitcoin,6.06685940456463,direct,legitimate_user,legitimate_user,Sender11,Receiver8,2022-05-15 08:46:35
TX132,Wallet24,USDT,88826.50517175395,direct,legitimate_user,legitimate_user,Sender48,Receiver40,2022-04-11 13:50:01
TX133,Wallet79,USDT,80756.3823403493,direct,drug_trafficker,drug_trafficker,Sender35,Receiver91,2022-12-13 11:40:36
TX134,Wallet77,USDT,98299.91366166189,direct,drug_trafficker,legitimate_user,Sender94,Receiver35,2022-11-13 17:39:48
TX135,Wallet76,Monero,44935.21747106266,tumbler,drug_trafficker,drug_trafficker,Sender4,Receiver17,2022-01-14 06:04:03
TX136,Wallet72,Bitcoin,35643.995330040496,direct,legitimate_user,drug_trafficker,Sender9,Receiver73,2022-10-07 20:33:24
TX137,Wallet5,USDT,97176.30789376434,direct,drug_trafficker,legitimate_user,Sender96,Receiver55,2022-10-20 19:18:23
TX138,Wallet58,USDT,41753.92592429365,bridge,drug_trafficker,legitimate_user,Sender60,Receiver45,2022-11-25 21:43:57
TX139,Wallet15,Bitcoin,65860.41045295069,mixer,legitimate_user,drug_trafficker,Sender44,Receiver91,2022-05-11 21:39:42
TX140,Wallet87,Bitcoin,78618.85208462107,direct,legitimate_user,legitimate_user,Sender55,Receiver48,2022-07-21 02:34:42
TX141,Wallet63,Bitcoin,10231.690565591265,tumbler,drug_trafficker,legitimate_user,Sender71,Receiver7,2022-01-10 13:56:09
TX142,Wallet10,Monero,33828.14580693163,direct,drug_trafficker,drug_trafficker,Sender75,Receiver14,2022-12-03 05:07:23
TX143,Wallet4,Monero,68846.29612836683,mixer,drug_trafficker,legitimate_user,Sender83,Receiver29,2022-04-22 17:39:42
TX144,Wallet29,Monero,5373.3641980380635,tumbler,legitimate_user,legitimate_user,Sender76,Receiver97,2022-07-20 22:27:57
TX145,Wallet62,Bitcoin,61476.992466731026,bridge,legitimate_user,legitimate_user,Sender24,Receiver53,2022-08-27 08:41:45
TX146,Wallet16,Bitcoin,32405.238879816876,tumbler,drug_trafficker,drug_trafficker,Sender1,Receiver84,2022-07-04 16:03:26
TX147,Wallet12,USDT,11330.283333586733,bridge,drug_trafficker,drug_trafficker,Sender92,Receiver93,2022-01-04 21:38:43
TX148,Wallet24,Monero,35588.92190519527,mixer,legitimate_user,legitimate_user,Sender69,Receiver46,2022-09-08 22:17:52
TX149,Wallet6,USDT,10537.259857875835,mixer,drug_trafficker,drug_trafficker,Sender30,Receiver12,2022-08-27 10:21:07
TX150,Wallet55,Monero,56970.608499307644,tumbler,legitimate_user,drug_trafficker,Sender4,Receiver85,2022-02-20 05:33:44
TX151,Wallet61,USDT,27429.57764131811,mixer,drug_trafficker,legitimate_user,Sender40,Receiver34,2022-02-02 09:23:04
TX152,Wallet98,Monero,54234.04965081064,direct,legitimate_user,drug_trafficker,Sender60,Receiver75,2022-09-25 03:18:21
TX153,Wallet22,Monero,76506.9972651145,mixer,legitimate_user,legitimate_user,Sender38,Receiver8,2022-09-17 11:11:44
TX154,Wallet6,USDT,2519.0386771477224,mixer,legitimate_user,drug_trafficker,Sender82,Receiver31,2022-03-04 00:29:44
TX155,Wallet62,Monero,8028.492731932009,tumbler,legitimate_user,drug_trafficker,Sender60,Receiver22,2022-09-06 17:38:15
TX156,Wallet87,USDT,71161.45254287675,tumbler,drug_trafficker,legitimate_user,Sender48,Receiver67,2022-12-10 18:40:54
TX157,Wallet5,Monero,93516.05185617744,mixer,drug_trafficker,drug_trafficker,Sender73,Receiver9,2022-09-13 05:18:02
TX158,Wallet30,USDT,73000.25317007412,tumbler,drug_trafficker,drug_trafficker,Sender4,Receiver12,2022-10-19 15:57:03
TX159,Wallet61,Monero,94936.99015490079,tumbler,legitimate_user,drug_trafficker,Sender76,Receiver80,2022-11-16 01:11:55
TX160,Wallet59,Bitcoin,64482.69939935636,tumbler,legitimate_user,legitimate_user,Sender61,Receiver46,2022-11-28 07:27:29
TX161,Wallet76,USDT,36224.993848321246,bridge,drug_trafficker,drug_trafficker,Sender90,Receiver33,2022-03-09 06:30:22
TX162,Wallet69,Bitcoin,46305.01037388224,tumbler,legitimate_user,legitimate_user,Sender92,Receiver84,2022-09-27 09:50:31
TX163,Wallet72,Bitcoin,25256.712684216087,tumbler,drug_trafficker,legitimate_user,Sender49,Receiver72,2022-06-04 07:08:37
TX164,Wallet56,Bitcoin,22182.410832759306,tumbler,drug_trafficker,drug_trafficker,Sender66,Receiver67,2022-01-03 11:31:10
TX165,Wallet15,Bitcoin,19798.288014151483,tumbler,legitimate_user,drug_trafficker,Sender80,Receiver52,2022-01-24 06:09:56
TX166,Wallet88,Bitcoin,88099.8072686325,direct,drug_trafficker,drug_trafficker,Sender36,Receiver63,2022-06-27 12:18:00
TX167,Wallet78,Monero,40464.33798658608,tumbler,drug_trafficker,legitimate_user,Sender68,Receiver18,2022-06-27 11:45:41
TX168,Wallet49,Bitcoin,21595.96385184484,mixer,legitimate_user,legitimate_user,Sender93,Receiver78,2022-08-27 17:04:43
TX169,Wallet93,USDT,34866.526285184795,bridge,drug_trafficker,legitimate_user,Sender54,Receiver27,2022-12-12 05:29:49
TX170,Wallet57,USDT,63364.32906753942,bridge,legitimate_user,legitimate_user,Sender1,Receiver20,2022-08-19 06:03:30
TX171,Wallet6,Bitcoin,33203.95248776828,bridge,drug_trafficker,drug_trafficker,Sender76,Receiver18,2022-05-27 07:53:50
TX172,Wallet40,USDT,31518.794321149835,bridge,drug_trafficker,drug_trafficker,Sender76,Receiver55,2022-05-19 11:51:34
TX173,Wallet9,USDT,13157.608420854205,direct,legitimate_user,drug_trafficker,Sender60,Receiver95,2022-10-28 18:12:01
TX174,Wallet68,USDT,14658.382149268307,direct,drug_trafficker,drug_trafficker,Sender8,Receiver26,2022-04-28 20:36:44
TX175,Wallet73,Monero,81127.42420150091,direct,drug_trafficker,drug_trafficker,Sender14,Receiver14,2022-10-09 06:30:12
TX176,Wallet6,Bitcoin,16326.374070874901,tumbler,drug_trafficker,legitimate_user,Sender24,Receiver37,2022-12-28 02:06:06
TX177,Wallet18,Bitcoin,84536.45341313111,mixer,legitimate_user,drug_trafficker,Sender5,Receiver96,2022-11-02 09:48:13
TX178,Wallet77,Bitcoin,95356.32304569629,direct,drug_trafficker,drug_trafficker,Sender38,Receiver15,2022-05-19 04:50:47
TX179,Wallet38,Monero,79895.31841128635,tumbler,drug_trafficker,drug_trafficker,Sender17,Receiver17,2022-11-06 23:47:03
TX180,Wallet19,Monero,67168.98904418679,mixer,legitimate_user,legitimate_user,Sender98,Receiver56,2022-11-13 19:02:19
TX181,Wallet20,USDT,9512.352720082936,direct,drug_trafficker,drug_trafficker,Sender95,Receiver63,2022-01-17 06:04:45
TX182,Wallet31,Bitcoin,98738.3336539302,tumbler,drug_trafficker,drug_trafficker,Sender7,Receiver3,2022-11-15 13:27:57
TX183,Wallet22,Bitcoin,24415.7109421176,tumbler,legitimate_user,drug_trafficker,Sender53,Receiver71,2022-10-11 08:26:16
TX184,Wallet39,Bitcoin,16318.178919595017,direct,drug_trafficker,legitimate_user,Sender2,Receiver64,2022-02-22 14:00:22
TX185,Wallet21,Bitcoin,3294.554523668753,tumbler,drug_trafficker,legitimate_user,Sender31,Receiver28,2022-05-10 08:52:20
TX186,Wallet49,Monero,40412.161382155675,bridge,legitimate_user,legitimate_user,Sender28,Receiver91,2022-06-03 06:41:45
TX187,Wallet59,USDT,57003.90837927079,mixer,legitimate_user,legitimate_user,Sender79,Receiver84,2022-11-12 16:35:52
TX188,Wallet11,USDT,48155.34064728703,bridge,legitimate_user,legitimate_user,Sender27,Receiver52,2022-12-05 06:21:39
TX189,Wallet24,Bitcoin,59096.91252435906,bridge,drug_trafficker,drug_trafficker,Sender44,Receiver7,2022-02-09 04:18:48
TX190,Wallet9,Monero,38427.32368150009,mixer,drug_trafficker,drug_trafficker,Sender47,Receiver46,2022-02-05 20:10:52
TX191,Wallet73,Monero,27334.8809204997,tumbler,drug_trafficker,legitimate_user,Sender79,Receiver78,2022-10-15 12:37:29
TX192,Wallet25,Bitcoin,52874.155882529696,direct,drug_trafficker,drug_trafficker,Sender81,Receiver12,2022-10-22 22:17:28
TX193,Wallet73,Bitcoin,7260.015928759866,bridge,legitimate_user,drug_trafficker,Sender42,Receiver10,2022-07-21 11:17:50
TX194,Wallet27,Monero,87920.7346083473,bridge,legitimate_user,drug_trafficker,Sender77,Receiver14,2022-09-09 18:17:42
TX195,Wallet76,Monero,29361.689044172817,mixer,drug_trafficker,legitimate_user,Sender66,Receiver79,2022-06-07 15:44:09
TX196,Wallet35,Monero,64563.57156038873,mixer,drug_trafficker,drug_trafficker,Sender51,Receiver14,2022-07-15 03:23:37
TX197,Wallet83,Monero,81810.1068213924,bridge,legitimate_user,legitimate_user,Sender91,Receiver49,2022-02-20 19:01:27
TX198,Wallet36,USDT,48350.07100338943,tumbler,drug_trafficker,drug_trafficker,Sender11,Receiver44,2022-06-06 08:52:15
TX199,Wallet1,USDT,90909.27661192874,direct,drug_trafficker,legitimate_user,Sender69,Receiver96,2022-12-19 09:03:34
TX200,Wallet18,Monero,21268.24875435879,mixer,drug_trafficker,drug_trafficker,Sender68,Receiver28,2022-03-03 04:42:39
TX201,Wallet85,Bitcoin,30352.879247627214,direct,drug_trafficker,drug_trafficker,Sender6,Receiver84,2022-08-05 10:50:27
TX202,Wallet30,USDT,79142.09571075808,tumbler,drug_trafficker,drug_trafficker,Sender26,Receiver34,2022-02-18 15:16:49
TX203,Wallet95,Monero,39726.81025726705,bridge,legitimate_user,legitimate_user,Sender47,Receiver13,2022-09-22 22:56:14
TX204,Wallet63,Bitcoin,93712.30268194775,direct,legitimate_user,drug_trafficker,Sender1,Receiver70,2022-07-10 01:49:51
TX205,Wallet71,Monero,74699.1023744282,bridge,drug_trafficker,drug_trafficker,Sender85,Receiver42,2022-03-20 10:06:38
TX206,Wallet41,Bitcoin,29732.517855980914,bridge,drug_trafficker,drug_trafficker,Sender60,Receiver90,2022-12-25 16:43:03
TX207,Wallet40,Bitcoin,28648.64196666075,direct,drug_trafficker,drug_trafficker,Sender92,Receiver48,2022-10-22 12:12:47
TX208,Wallet32,USDT,91040.95606372914,tumbler,drug_trafficker,legitimate_user,Sender14,Receiver9,2022-05-22 18:16:13
TX209,Wallet28,USDT,69667.82921531505,mixer,drug_trafficker,drug_trafficker,Sender58,Receiver46,2022-01-27 23:50:42
